timestamp,OriginWeather,OriginRegion,OriginCountry,OriginCityName,OriginAirportID,Origin,DistanceKilometers,AvgTicketPrice,Cancelled,Carrier,DestAirportID,DestCityName,DestCountry,DestLocation,DestRegion,DestWeather
"Jun 25, 2023 @ 19:50:12.000",Clear,"GB-ENG",GB,London,LGW,"London Gatwick Airport","9,243.811","$952.45",false,"Kibana Airlines",SHA,Shanghai,CN,"POINT (121.3359985 31.19790077)","SE-BD",Rain
"Jun 25, 2023 @ 19:46:01.000",Clear,"RU-MUR",RU,Olenegorsk,XLMO,"Olenya Air Base","7,017.347","$1,028.77",false,"Logstash Airways",HND,Tokyo,JP,"POINT (139.779999 35.552299)","SE-BD",Rain
"Jun 25, 2023 @ 19:29:45.000","Thunder & Lightning","IT-42",IT,Genova,GE01,"Genoa Cristoforo Colombo Airport","8,504.609","$1,091.88",false,JetBeats,DUR,Durban,ZA,"POINT (31.11972222 -29.61444444)","SE-BD",Clear
"Jun 25, 2023 @ 19:27:00.000",Clear,"US-PA",US,Pittsburgh,PIT,"Pittsburgh International Airport","3,419.537","$440.32",true,"Kibana Airlines",SEA,Seattle,US,"POINT (-122.3089981 47.44900131)","US-WA","Thunder & Lightning"
"Jun 25, 2023 @ 19:21:27.000","Heavy Fog","SE-BD",IN,Hyderabad,HYD,"Rajiv Gandhi International Airport","6,804.689","$908.84",false,JetBeats,VE05,Venice,IT,"POINT (12.3519 45.505299)","IT-34",Sunny
"Jun 25, 2023 @ 19:12:33.000","Thunder & Lightning","IT-25",IT,Milan,MI12,"Malpensa International Airport","657.92","$760.34",true,"ES-Air",VIE,Vienna,AT,"POINT (16.56970024 48.11029816)","AT-9",Cloudy
"Jun 25, 2023 @ 19:04:08.000",Hail,"SE-BD",KR,Seoul,ICN,"Incheon International Airport","10,598.642","$1,000.61",false,"Logstash Airways",YUL,Montreal,CA,"POINT (-73.74079895 45.47060013)","CA-QC","Heavy Fog"
"Jun 25, 2023 @ 19:01:03.000",Clear,"SE-BD",IT,Rome,FCO,"Leonardo da Vinci - Fiumicino Airport","1,407.216","$788.64",false,"Kibana Airlines",LGW,London,GB,"POINT (-0.190277994 51.14810181)","GB-ENG",Sunny
"Jun 25, 2023 @ 18:58:25.000",Sunny,"SE-BD",AU,Brisbane,BNE,"Brisbane International Airport","11,657.09","$1,155.34",false,"Kibana Airlines",JNB,Johannesburg,ZA,"POINT (28.246 -26.1392)","SE-BD",Sunny
"Jun 25, 2023 @ 18:53:35.000",Cloudy,"IT-34",IT,Verona,VR10,"Verona Villafranca Airport","291.902","$929.83",false,"Logstash Airways",ZRH,Zurich,CH,"POINT (8.54917 47.464699)","CH-ZH",Rain
"Jun 25, 2023 @ 18:44:14.000","Heavy Fog","SE-BD",AU,Brisbane,BNE,"Brisbane International Airport","7,696.868","$842.3",false,"Kibana Airlines",GMP,Seoul,KR,"POINT (126.791 37.5583)","SE-BD",Clear
"Jun 25, 2023 @ 18:40:56.000",Clear,"US-WI",US,"Green Bay",GRB,"Austin Straubel International Airport","7,582.866","$707.85",false,"Kibana Airlines",CA07,Cagliari,IT,"POINT (9.05428 39.251499)","IT-88",Sunny
"Jun 25, 2023 @ 18:17:15.000",Cloudy,"SE-BD",JP,Osaka,ITM,"Itami Airport","6,248.012","$1,034.34",false,"ES-Air",BLR,Bangalore,IN,"POINT (77.706299 13.1979)","SE-BD","Damaging Wind"
"Jun 25, 2023 @ 18:15:05.000","Thunder & Lightning","US-VA",US,Norfolk,ORF,"Norfolk International Airport","7,058.147","$1,077.03",false,"Kibana Airlines",PI05,Pisa,IT,"POINT (10.3927 43.683899)","IT-52",Sunny
"Jun 25, 2023 @ 18:06:14.000",Clear,"SE-BD",CN,"Xi'an",XIY,"Xi'an Xianyang International Airport",0,"$294.56",false,"ES-Air",XIY,"Xi'an",CN,"POINT (108.751999 34.447102)","SE-BD",Clear
"Jun 25, 2023 @ 18:06:14.000",Clear,"RU-MOS",RU,Moscow,SVO,"Sheremetyevo International Airport","1,223.804","$839.02",false,"ES-Air",ARN,Stockholm,SE,"POINT (17.91860008 59.65190125)","SE-AB",Rain
"Jun 25, 2023 @ 17:44:41.000",Sunny,"SE-BD",JP,Tokoname,NGO,"Chubu Centrair International Airport","9,813.844","$1,067.52",false,"Logstash Airways",RM11,Rome,IT,"POINT (12.2388889 41.8002778)","IT-62",Clear
"Jun 25, 2023 @ 17:41:38.000",Clear,"SE-BD",CL,Santiago,SCL,"Comodoro Arturo Merino Benitez International Airport","17,010.352","$953.12",false,"Logstash Airways",CTS,"Chitose / Tomakomai",JP,"POINT (141.6920013 42.77519989)","SE-BD",Clear
"Jun 25, 2023 @ 17:39:01.000","Damaging Wind","IT-88",IT,Cagliari,CA07,"Cagliari Elmas Airport","16,609.582","$1,188.05",false,"Kibana Airlines",SYD,Sydney,AU,"POINT (151.177002 -33.94609833)","SE-BD",Rain
"Jun 25, 2023 @ 17:16:59.000",Sunny,"CH-ZH",CH,Zurich,ZRH,"Zurich Airport",0,"$444.73",false,"ES-Air",ZRH,Zurich,CH,"POINT (8.54917 47.464699)","CH-ZH",Clear
"Jun 25, 2023 @ 16:58:57.000",Rain,"SE-BD",AE,"Abu Dhabi",AUH,"Abu Dhabi International Airport","4,155.047","$514.76",false,"ES-Air",NA01,Naples,IT,"POINT (14.2908 40.886002)","IT-72",Hail
"Jun 25, 2023 @ 16:55:06.000",Rain,"IT-62",IT,Rome,RM12,"Ciampino___G. B. Pastine International Airport",0,"$355.33",false,"Kibana Airlines",RM12,Rome,IT,"POINT (12.5949 41.7994)","IT-62",Sunny
"Jun 25, 2023 @ 16:55:06.000",Sunny,"DE-HE",DE,"Frankfurt am Main",FRA,"Frankfurt am Main Airport","9,799.813","$1,181.54",true,"ES-Air",UIO,Quito,EC,"POINT (-78.3575 -0.129166667)","EC-P","Heavy Fog"
"Jun 25, 2023 @ 16:53:44.000","Heavy Fog","AT-9",AT,Vienna,VIE,"Vienna International Airport",0,"$375.54",false,"ES-Air",VIE,Vienna,AT,"POINT (16.56970024 48.11029816)","AT-9","Damaging Wind"
"Jun 25, 2023 @ 16:51:31.000",Clear,"FR-J",FR,Paris,CDG,"Charles de Gaulle International Airport","9,287.13","$867.23",false,"ES-Air",PVG,Shanghai,CN,"POINT (121.8050003 31.14340019)","SE-BD","Damaging Wind"
"Jun 25, 2023 @ 16:42:25.000",Sunny,"IT-52",IT,Pisa,PI05,"Pisa International Airport","8,058.582","$1,080.45",false,"Logstash Airways",XIY,"Xi'an",CN,"POINT (108.751999 34.447102)","SE-BD",Rain
"Jun 25, 2023 @ 16:30:08.000",Cloudy,"IT-45",IT,Bologna,BO08,"Bologna Guglielmo Marconi Airport","769.26","$511.72",false,"ES-Air",CGN,Cologne,DE,"POINT (7.142739773 50.86589813)","DE-NW",Clear
"Jun 25, 2023 @ 16:24:22.000",Sunny,"SE-BD",AE,"Abu Dhabi",AUH,"Abu Dhabi International Airport","13,618.993","$602.62",false,"Kibana Airlines",SAN,"San Diego",US,"POINT (-117.1900024 32.73360062)","US-CA",Rain
"Jun 25, 2023 @ 16:19:55.000",Sunny,"TR-34",TR,Istanbul,IST,"Ataturk International Airport","10,505.117","$577.72",false,"Logstash Airways",SAT,"San Antonio",US,"POINT (-98.46980286 29.53370094)","US-TX",Rain
"Jun 25, 2023 @ 16:10:13.000",Sunny,"SE-BD",JP,Osaka,ITM,"Itami Airport","9,618.765","$795.91",false,"Kibana Airlines",MI12,Milan,IT,"POINT (8.72811 45.6306)","IT-25",Sunny
"Jun 25, 2023 @ 16:08:25.000",Rain,"NL-NH",NL,Amsterdam,AMS,"Amsterdam Airport Schiphol","10,511.438","$1,078.64",false,"Logstash Airways",LIM,Lima,PE,"POINT (-77.114304 -12.0219)","SE-BD",Sunny
"Jun 25, 2023 @ 16:03:31.000",Rain,"SE-BD",CN,Shanghai,SHA,"Shanghai Hongqiao International Airport","2,294.223","$840.46",false,"Kibana Airlines",XHBU,Belogorsk,RU,"POINT (128.445007 51.169997)","RU-AMU",Rain
"Jun 25, 2023 @ 16:03:31.000",Sunny,"SE-BD",JP,Osaka,ITM,"Itami Airport","836.663","$891.14",false,"Logstash Airways",CJU,"Jeju City",KR,"POINT (126.4929962 33.51129913)","SE-BD",Rain
"Jun 25, 2023 @ 15:54:11.000",Sunny,"US-FL",US,Miami,MIA,"Miami International Airport","3,057.771","$313.43",false,JetBeats,TUS,Tucson,US,"POINT (-110.9410019 32.11610031)","US-AZ",Cloudy
"Jun 25, 2023 @ 15:54:11.000",Cloudy,"SE-BD",EC,Quito,UIO,"Mariscal Sucre International Airport","15,994.087","$1,053.54",false,JetBeats,SHA,Shanghai,CN,"POINT (121.3359985 31.19790077)","SE-BD",Rain
"Jun 25, 2023 @ 15:51:23.000","Heavy Fog","IT-62",IT,Rome,RM12,"Ciampino___G. B. Pastine International Airport","768.003","$684.93",false,JetBeats,VIE,Vienna,AT,"POINT (16.56970024 48.11029816)","AT-9",Cloudy
