CustomerID,BillDate,UsageGB,TotalCharge,PaymentStatus,PaymentDate
1,2025-01-01,237.62,60.35,Paid,2025-01-13
1,2025-01-31,492.42,104.15,Unpaid,
1,2025-03-02,410.85,97.25,Unpaid,
1,2025-04-01,371.1,91.51,Partial,
1,2025-05-01,343.44,58.4,Partial,
1,2025-05-31,475.95,97.81,Partial,
1,2025-06-30,293.6,69.01,Paid,2025-07-08
1,2025-07-30,201.44,49.01,Partial,
1,2025-08-29,264.54,52.84,Partial,
1,2025-09-28,285.31,66.5,Partial,
2,2025-01-01,437.51,79.82,Unpaid,
2,2025-01-31,448.43,102.32,Partial,
2,2025-03-02,429.93,99.66,Partial,
2,2025-04-01,168.39,41.9,Paid,2025-04-04
2,2025-05-01,430.41,74.4,Unpaid,
2,2025-05-31,181.16,49.33,Partial,
2,2025-06-30,208.67,50.5,Partial,
2,2025-07-30,317.3,76.95,Partial,
2,2025-08-29,136.77,37.84,Paid,2025-09-07
2,2025-09-28,494.75,80.45,Paid,2025-10-13
3,2025-01-01,359.83,77.82,Unpaid,
3,2025-01-31,321.15,78.25,Partial,
3,2025-03-02,479.61,102.51,Paid,2025-03-16
3,2025-04-01,471.44,106.97,Unpaid,
3,2025-05-01,261.95,51.41,Partial,
3,2025-05-31,440.7,98.91,Unpaid,
3,2025-06-30,141.35,47.82,Unpaid,
3,2025-07-30,63.85,31.11,Paid,2025-08-05
3,2025-08-29,375.04,62.86,Partial,
3,2025-09-28,131.61,38.34,Unpaid,
4,2025-01-01,360.81,83.77,Paid,2025-01-02
4,2025-01-31,281.97,65.21,Partial,
4,2025-03-02,459.35,108.55,Paid,2025-03-08
4,2025-04-01,447.09,100.04,Unpaid,
4,2025-05-01,151.24,37.75,Paid,2025-05-13
4,2025-05-31,326.6,79.27,Paid,2025-06-08
4,2025-06-30,146.36,41.66,Unpaid,
4,2025-07-30,404.33,85.4,Unpaid,
4,2025-08-29,57.8,27.97,Paid,2025-09-11
4,2025-09-28,177.28,52.67,Partial,
5,2025-01-01,465.57,107.85,Paid,2025-01-15
5,2025-01-31,126.41,38.65,Paid,2025-02-04
5,2025-03-02,169.34,51.19,Partial,
5,2025-04-01,237.5,62.07,Unpaid,
5,2025-05-01,217.78,58.13,Unpaid,
5,2025-05-31,172.64,48.23,Paid,2025-06-05
5,2025-06-30,58.75,28.43,Paid,2025-07-02
5,2025-07-30,166.73,51.2,Partial,
5,2025-08-29,471.47,108.04,Partial,
5,2025-09-28,273.55,56.47,Unpaid,
6,2025-01-01,325.55,64.08,Unpaid,
6,2025-01-31,215.2,51.26,Paid,2025-02-07
6,2025-03-02,288.33,67.66,Partial,
6,2025-04-01,352.62,84.49,Unpaid,
6,2025-05-01,117.08,35.87,Unpaid,
6,2025-05-31,494.98,87.79,Paid,2025-06-06
6,2025-06-30,67.61,30.26,Partial,
6,2025-07-30,334.46,58.68,Partial,
6,2025-08-29,443.94,100.95,Unpaid,
6,2025-09-28,439.39,65.61,Unpaid,
7,2025-01-01,403.61,99.13,Unpaid,
7,2025-01-31,281.22,49.72,Partial,
7,2025-03-02,194.43,42.44,Unpaid,
7,2025-04-01,496.15,113.83,Unpaid,
7,2025-05-01,457.89,92.5,Paid,2025-05-01
7,2025-05-31,392.72,93.83,Paid,2025-06-05
7,2025-06-30,442.69,90.35,Paid,2025-06-30
7,2025-07-30,318.8,79.42,Paid,2025-08-05
7,2025-08-29,497.0,112.24,Unpaid,
7,2025-09-28,247.66,62.05,Unpaid,
8,2025-01-01,284.14,58.23,Unpaid,
8,2025-01-31,285.62,49.89,Unpaid,
8,2025-03-02,426.62,68.43,Partial,
8,2025-04-01,155.53,41.99,Partial,
8,2025-05-01,299.87,56.53,Partial,
8,2025-05-31,473.48,72.24,Unpaid,
8,2025-06-30,450.85,98.21,Unpaid,
8,2025-07-30,362.07,66.68,Paid,2025-08-10
8,2025-08-29,360.93,58.43,Paid,2025-09-12
8,2025-09-28,58.05,26.67,Paid,2025-10-01
9,2025-01-01,135.83,45.4,Partial,
9,2025-01-31,58.88,27.44,Paid,2025-02-01
9,2025-03-02,390.34,72.38,Paid,2025-03-11
9,2025-04-01,402.78,93.25,Unpaid,
9,2025-05-01,250.24,65.92,Unpaid,
9,2025-05-31,274.75,58.23,Partial,
9,2025-06-30,216.26,43.85,Partial,
9,2025-07-30,203.97,47.02,Paid,2025-07-31
9,2025-08-29,445.77,106.35,Unpaid,
9,2025-09-28,317.31,73.64,Partial,
10,2025-01-01,249.96,69.54,Paid,2025-01-07
10,2025-01-31,284.54,74.67,Paid,2025-02-01
10,2025-03-02,168.8,51.24,Unpaid,
10,2025-04-01,51.66,28.77,Paid,2025-04-06
10,2025-05-01,101.14,37.76,Unpaid,
10,2025-05-31,199.98,58.43,Unpaid,
10,2025-06-30,332.88,78.4,Partial,
10,2025-07-30,106.33,37.26,Partial,
10,2025-08-29,202.35,57.46,Paid,2025-09-08
10,2025-09-28,470.54,81.09,Partial,
11,2025-01-01,433.46,98.15,Partial,
11,2025-01-31,266.25,69.4,Partial,
11,2025-03-02,429.02,101.68,Partial,
11,2025-04-01,337.03,80.51,Unpaid,
11,2025-05-01,262.98,50.77,Unpaid,
11,2025-05-31,286.93,54.4,Partial,
11,2025-06-30,290.33,61.34,Unpaid,
11,2025-07-30,264.36,48.68,Unpaid,
11,2025-08-29,130.67,46.12,Unpaid,
11,2025-09-28,391.98,80.9,Unpaid,
12,2025-01-01,94.15,34.56,Partial,
12,2025-01-31,346.18,60.38,Paid,2025-02-15
12,2025-03-02,115.79,33.22,Unpaid,
12,2025-04-01,294.35,62.22,Paid,2025-04-09
12,2025-05-01,363.67,87.52,Paid,2025-05-14
12,2025-05-31,474.38,110.16,Partial,
12,2025-06-30,394.52,62.79,Partial,
12,2025-07-30,391.44,59.42,Unpaid,
12,2025-08-29,82.08,30.59,Paid,2025-09-08
12,2025-09-28,93.21,38.2,Partial,
13,2025-01-01,345.18,58.31,Partial,
13,2025-01-31,491.2,96.73,Unpaid,
